PC1	PC2	PC3	PC4
0.2224509709980987	0.17524025977175622	0.024397087108764627	-0.028676163884039423
0.22326027231917062	0.16993199120056424	0.022305107018821137	-0.028670974603468364
0.22406338913716092	0.16434781147787636	0.02237557722341618	-0.027203595142060333
0.2246614942607913	0.1585501984882256	0.019756563982217774	-0.02664885694935482
0.2251333877957195	0.15528797834487665	0.020086546125479908	-0.024678757538491018
0.2255519570675821	0.15103542483971283	0.02086206339001321	-0.02482194236492455
0.2258935985534897	0.1491322378034274	0.019701512844577603	-0.024707955924407304
0.22617813184363744	0.14511691297430068	0.01974427449768545	-0.024770708496544887
0.22602155426818368	0.13746070546082698	0.019615200527973487	-0.024729909169758972
0.22347193704744445	0.11578469804095738	0.017025919064241817	-0.013529583809751685
0.2182445391513434	0.08432405057141747	0.005077035033576017	-0.009809164295356672
0.21158055558403951	0.05465855494715276	0.004258060348061931	-0.006315930074162731
0.20475388421516277	0.02559017419786482	0.001415228387733541	-0.0019763739895558453
0.19757535525253292	0.0003331241280251011	-0.0005347338243247642	0.0026677750515952466
0.19088855117882703	-0.025718438170357637	-0.006980172940771453	0.009553272060105748
0.1846624624648461	-0.046468024038407656	-0.008028369155405687	0.015546413045983594
0.17834018851968672	-0.0763695609600576	-0.014341622948034564	0.02038425380741548
0.17187053566992871	-0.10245205538860691	-0.023571620856840128	0.02575071682883238
0.1661597027036845	-0.12542921704875243	-0.02601219463923624	0.034948026861970516
0.16028046212335353	-0.14695209315591468	-0.031190367756896605	0.04898330565231406
0.15478652271653745	-0.17808673198506772	-0.045415552221892516	0.05930666916570607
0.14941337599770035	-0.21596970445758545	-0.062265123320187646	0.0868262366789131
0.14412316853292145	-0.24367902585518866	-0.08362756061609372	0.1280640239280544
0.13896279898418384	-0.2838528080083567	-0.0966665308910488	0.20829530559548026
0.13408777181842071	-0.3368238628974564	-0.17714893048342067	0.6177758651924199
0.12925024520201725	-0.39461265067543533	-0.5160923145621158	-0.6906533088115031
0.1250385164239415	-0.4593795754409443	0.8204537042391735	-0.24287804216258357
